kata tidak baku,kata baku
abjat,abjat
adesi,adhesi
afdol,afdal
aktip,aktif
aktifitas,aktivitas
aquatik,akuatik
alaram,alarm
ambulan,ambulans
amandemen,amendemen
ampibi,amfibi
amoniak,amonia
analisa,analisis
handal,andal
antri,antre
apotik,apotek
artifak,artefak
azas,asas
astronot,astronout
asik,asyik
atheis,ateis
atheisme,ateisme
atlit,atlet
atmosfir,atmosfer
otentik,autentik
adzan,azan
baligh,balig
balsem,balsam
baterei,baterai
brandal,berandal
brantas,berantas
brengsek,berengsek
berfikir,berpikir
bertanggungjawab,bertanggung jawab
bolpen,bolpoin
berankas,brankas
budget,bujet
bowling,boling
borax,boraks
bis,bus
cabe,cabai
capek,capai
cicak,cecak
cidera,cedera
cendikia,cendekia
cendikiawan,cendekiawan
cenderamata,cendera mata
cengkrama,cengkerama
cengkeh,cengkih
coklat,cokelat
daptar,daftar
dasyat,dahsyat
dulu,dahulu
darma siswa,darmasiswa
darma wisata,darmawisata
dasbord,dasbor
debitor,debitur
detil,detail
deterjen,detergen
dijit,digit
diagnosa,diagnosis
differensial,diferensial
dollar,dolar
dopping,doping
drem,drum
drem,dram
duren,durian
efektip,efektif
explisit,eksplisit
eksponent,eksponen
eksport,ekspor
expres,ekspres
extra,ekstra
ekstrim,ekstrem
ekuifalen,ekuivalen
elit,elite
hembus,embus
esei,esai
faksimili,faksimile
pebruari,februari
figure,figur
pondasi,fondasi
formil,formal
pospor,fosfor
photo,foto
photokopi,fotokopi
fotosintesa,fotosintesis
foto-model,fotomodel
fraksinase,fraksinasi
frase,frasa
frekwensi,frekuensi
ghoib,gaib
ghaib,gaib
gengster,gangster
ganjel,ganjal
gatel,gatal
glora,gelora
gladi,geladi
jenius,genius
greget,gereget
giji,gizi
goa,gua
gubug,gubuk
gudek,gudeg
hadist,hadis
hapal,hafal
hakekat,hakikat
angus,hangus
hektar,hektare
herves,herpes
hetrografi,heterografi
hipotesa,hipotesis
history,histori
idil,idiil
ikhram,ihram
ijasah,ijazah
ihlas,ikhlas
iklas,ikhlas
himbau,imbau
import,impor
indera,indra
insyaf,insaf
inten,intens
intisari,inti sari
hisap,isap
isra',isra
istighfar,istigfar
isteri,istri
intemezo,intermeso
ijin,izin
jadual,jadwal
jagat,jagat
jais,jaiz
jasat,jasad
jamaah,jemaah
jenasah,jenazah
jendral,jenderal
yudo,judo
jum'at,jumat
yunior,junior
yuri,juri
kaedah,kaidah
ka'bah,kakbah
kaabah ,kakbah
kangker,kanker
karna,karena
karir,karier
kharisma,karisma
karnafal,karnaval
kasroh,kasrah
katalisa,katalisis
ketapel,katapel
katagori,kategori
kebon,kebun
kadaluarsa,kedaluwarsa
kadaluwarsa,kedaluwarsa
kedelei,kedelai
klengkeng,kelengkeng
kendor,kendur
hatam,khatam
katam,khatam
kuatir,khawatir
khutbah,khotbah
kyai,kiai
client,klien
keliping,kliping
keloter,kloter
koboy,koboi
komersil,komersial
komplek,kompleks
komplit,komplet
konggres,kongres
konsumtip,konsumtif
koordinir,koordinasi
konsleting,korsleting
kosakata,kosa kata
kreatip,kreatif
kreatifitas,kreativitas
kreditor,kreditur
kwalifikasi,kualifikasi
kwalitas,kualitas
kwantitatif,kuantitatif
kwitansi,kuitansi
lebel,label
lapal,lafal
legalisir,legalisasi
lembap,lembab
litosfir,litosfer
lobang,lubang
maap,maaf
macem,macam
maghrib,magrib
maximum,maksimum
mangkok,mangkuk
mantera,mantra
masal,massal
mesjid,masjid
mempengaruhi,memengaruhi
mengkonsumsi,mengonsumsi
merubah,mengubah
mentri,menteri
mencontek,menyontek
merk,merek
mesosfir,mesosfer
materai,meterai
metoda,metode
mi'raj,mikraj
missi,misi
miliyar,miliar
mulya,mulia
nahkoda,nakhoda
nafas,napas
nara sumber,narasumber
nasehat,nasihat
negri,negeri
netto,neto
nomer,nomor
non-blok,nonblok
non militer,nonmiliter
notulen,notula
nopember,november
obyek,objek
obyektif,objektif
ok,oke
omset,omzet
organisir,organisasi
orisinil,orisinal
faham,paham
pait,pahit
palm,palem
pancoran,pancuran
paradox,paradoks
pasca panen,pascapanen
pasca perang,pascaperang
pasca sarjana,pascasarjana
pasport,paspor
pedes,pedas
vermak,permak
pinsil,pensil
presepsi,persepsi
perespektif,perspektif
fikir,pikir
perancis,prancis
presidental,presidensial
produktip,produktif
produktifitas,produktivitas
projek,proyek
propinsi,provinsi
putera,putra
puteri,putri
qur'an,quran
rame,ramai
rapih,rapi
raport,rapor
reamur,reaumur
respon,respons
resistan,resistans
rematik,reumatik
rejeki,rezeki
resim,rezim
resiko,risiko
rubuh,roboh
ruh,roh
sohih,sahih
seksama,saksama
sambel,sambal
sangsi,sanksi
sastera,satra
sate,satai
saos,saus
sekedar,sekadar
sekertaris,sekretaris
seprei,seprai
strika,setrika
seterika,setrika
sintesa,sintesis
supir,sopir
standarisasi,standardisasi
statosfir,statosfer
subyek,subjek
survey,survei
sutera,sutra
swis,swiss
sahid,syahid
sawal,syawal
tehnik,teknik
tauladan,teladan
telpon,telepon
tentram,tenteram
termosfir,termosfer
taubat,tobat
transport,transpor
triliyun,triliun
triplek,tripleks
tropi,trofi
umroh,umrah
onta,unta
urgent,urgen
urin,urine
ustadz,ustaz
hutang,utang
varitas,varietas
varietes,varietas
walikota,wali kota
jogjakarta,yogyakarta
judikatif,yudikatif
jaman,zaman
jamrud,zamrud
zam-zam,zamzam
yg,yang
yng,yang
goblog,bodoh
yah,ya
dr,dari
tdk,tidak
ga,tidak
gw,aku
gue,aku
lo,kamu
sy,saya
dgn,dengan
krn,karena
org,orang
hestek,tagar
koq,kok
matiin,mati
males,malas
gaada,tidak ada
ngelike,suka
sampe,sampai
byk,banyak
yaa,ya
sbg,sebagai
sgt,sangat
cr,cari
ojok,jangan
ampe,sampai
d,di
hsil,hasil
nympek,sampai
jangn,jangan
jgn,jangan
nyampe,sampai
knp,kenapa
knpa,kenapa
jd,jadi
jangan2,janganjangan
walkot,wali kota
4nies,anies
berhari2,berharihari
berjilid2,berjilidjilid
jln,jalan
please,tolong
org2,orangorang
pd,pada
udah,sudah
sdh,sudah
jkt,jakarta
gk,tidak
prnh,pernah
njabat,menjabat
pjabat2,pejabat
pd,pada
kbingungan,kebingungan
apkh,apakah
gabener,gubernur
pekok,bodoh
klo,kalau
geleng2,heran
karepmu,terserah
action,aksi
donk,dong
semrawut,berantakan
amburadul,berantakan
ane,saya
kalo,kalau
apa2an,apaapaan
kagak,tidak
kata2,katakata
nyungsep,masuk
bangke,sial
sp,siapa
liyat,lihat
babe,ayah
bawak,bawa
gak,tidak
dg,dengan
mo,mau
kek,pun
bodok,bodoh
pan,kan
aer,air
rendem,merendam
auto,otomatis
moga,semoga
ksh,kasih
kapok2,menyerah
tolol,bodoh
62,indonesia
goblok,bodoh
missqueen,miskin
waras,sehat
next,selanjutnya
gub,gubernur
byk,banyak
nggilani,menjijikkan
sy,saya
kl,kalau
or,atau
sedkt,sedikit
drpd,daripada
gmn,bagaimana
lu,kamu
mrka,mereka
sllu,selalu
ingt,ingat
klian,kalian
klen,kalian
ojok,jangan
ampe,sampai
aj,saja
ye,ya
gara2,gara-gara
gak,tidak
yg,yang
gw,saya
kasi,kasih
tau,tahu
adlh,adalah
kpd,kepada
g,tidak
trmsk,termasuk
jend,jenderal
orange,oranye
dlm ,dalam
tp,tapi
kmren,kemarin
gk,tidak
nyalain,nyala
utk,untuk
cuekin,cuek
aja,saja
gue,saya
tetep,tetap
paedah,faedah
nrima,terima
gwe,saya
nggak,tidak
dunkss,dong
kasian,kasihan
anda2,anda
besok2,besok
ga,tidak
goblog,bodoh
koq,kok
hestek,tagar
matiin,mati
males,malas
gaada,tidak ada
nge-like,suka
asik,asyik
tdk,tidak
sdg,sedang
org,orang
sy,saya
dgn,dengan
krn,karena
lo,kamu
sampe,sampai
byk,banyak
yaa,ya
akuuu,aku
sbg,sebagai
ats,atas
bpk,bapak
ampunnnnn,ampun
rinduuuu,rindu
munkin,mungkin
rameh,ramai
kaga,tidak
karna,karena
tenaaang,tenang
jahaaattt,jahat
pak,bapak
bu,ibu
mentri,menteri
kalo,kalau
klu,kalau
maw,mau
metri,menteri
ngusir,usir
buang2,buang
temen,teman
dr,dari
jgn,jangan
santuy,santai
orang2,orang
sii,memang
group,grup
kayak,seperti
ghaib,gaib
go'ib,gaib
spt,seperti
ttg,tentang
ttpi,tetapi
dukunan,dukun
aq,aku
sy,saya
qm,kamu
sdh,sudah
menteri2,menteri
bju,baju
neko2,aneh-aneh
ttp,tetapi
manager,manajer
player,pemain
ntak,tidak
repot2,repot
pengen,ingin
hr,hari
udg,undang
demo2,demo
bwat,untuk
klean,kalian
priode,periode
seorg,seorang
diyan,doyan
sll,selalu
slrh,seluruh
ttap,tetap
mantul,mantap
tkng,tukang
jk,jika
sgt,sangat
mafia2,mafia
penguasa2,penguasa
loe,kamu
nitip,titip
blh,boleh
tgk,tengok
tu,itu
kereenn,keren
bnyk,banyak
kang,tukang
kerjaan,pekerjaan
kebo,kerbau
nanggung,tanggung
mawon,saja
sby,surabaya
yng,yang
trus,terus
jngn,jangan
ampe,sampai
cangkul2,cangkul
inget,ingat
iku,itu
order,pesan
doang,saja
kelen,kalian
cman,Cuma
kek,seperti
ok,oke
lu,kamu
gua,saya
goblok,bodoh
siyappp,siap
truck,truk
ikhlas2,ikhlas
dunkss,dong
stelah,setelah
ap,apa
knp,mengapa
dmn,di mana
apakh,apakah
dy,dia
jln,jalan
pgn,ingin
lnjt,lanjut
pg,pagi
mlm,malam
mkn,makan
lo,kamu
ato,atau
atw,atau
yak,ya
thdp,terhadap
karu2an,karuan
negri,negeri
sj,saja
cm,cuma
pake,pakai
dorong2an,dorong
blio,beliau
scr,secara
hepeng,uang
korup,korupsi
blkg,belakang
dg,dengan
takon,tanya
lali,lupa
yaa,ya
seolah2,seolah
aya,ada
bgmn,bagaimana
gmn,bagaimana
gimana,bagaimana
ad,ada
vs,versus
petingginua,petingginya
tsb,tersebut
kmrn,kemarin
pst,pasti
jelek2,jelek
sik,sih
jd,jadi
duwit,duit
tauuuuk,tahu
kalean,kalian
thd ,terhadap
masy,masyarakat
msh,masih
msk,masuk
gau,saya
lebay,berlebihan
jkt,jakarta
bdg,bandung
syg,sayang
pnya,punya
bener,benar
nulis,tulis
slh,salah
bnr,benar
slah,salah
tuk,untuk
klw,kalau
elo,kamu
idup,hidup
bego,bodoh
lg,lagi
udh,sudah
touris,turis
bkn ,bukan
ko,kok
yah,ya
merespons,merespon
ngurusin,mengurus
malem,malam
dapet,dapat
tbtb,tiba-tiba
nyantai,santai
bgtu,begitu
bangett,sangat
ktny,katanya
ktnya,katanya
paan ,apa
paansih,apa sih
paansih,apa sih
dimanapum,di mana pun
sebanyak2nya,sebanyaknya
dsb,dan sebagainya
dsbnya,dan sebagainya
min,admin
ayoo,ayo
menperkuat,memperkuat
share,bagi
macam2,berbagai macam
monangis,mau menangis
serem,seram
kenapaaaaa,kenapa
wuha,wuhan
cepet,cepat
ngga,tidak
ade,adik
trs,terus
apal,hafal
ajh,saja
ank,anak
bae,baik
ama,sama
tiba2,tiba-tiba
lagi2,lagi
lutcu,lucu
pager,pagar
tuh,itu
lho,loh
malamm,malam
suspek,terduga
gt,begitu
dah,sudah
gaboleh,tidak boleh
sedi,sedih
pen,ingin
ngerasain,merasakan
ai,saya
mlh,malah
drpd,daripada
emg,memang
gpp,tidak apa-apa
pntng,penting
ka,kakak
yaudah,ya sudah
skrg,sekarang
gituan,begitu
gapapa,tidak apa-apa
bet,sangat
w,saya
tidor,tidur
nerima,terima
skrang,sekarang
dlam,dalam
kmu,kamu
bsa,bisa
prgi,pergi
ninggalin,meninggalkan
bkan,bukan
brarti,berarti
trima,terima
cman,cuma
digituin,diperlakukan
yng,yang
dg,dengan
mimin,admin
indo,indonesia
ckup,cukup
tulung,tolong
nambah,tambah
datengin,datangkan
qt,kita
dung,dong
salfok,salah fokus
ngasih,kasih
mao,mau
seriusan,serius
aing,saya
udeh,udah
ngedadak,mendadak
spy,supaya
bawak,bawa
y,ya
gemes,gemas
ngajak,ajak
apaan,apa
bosen,bosan
ntar,nanti
aga,agak
rezeki,rejeki
apeni,apa nih
gausa,tidak perlu
gausah,tidak perlu
ae,saja
cakep,tampan
nyoba,coba
cabs,pergi
mutualan,berteman
kuy,yuk
gamain,tidak bermain
ketelen,ditelan
yu,yuk
blom,belum
bobo,tidur
gampamg,gampang
napa,kenapa
mslh,masalah
maw,mau
ayok,ayo
yok,ayo
br,baru
ayuk,ayo
tlg,tolong
kk,kakak
bgt,banget
sembuh2,sembuh
smbh,sembuh
seceng,seribu
gopek,lima ratus
gope,lima ratus
lagian,lagi
bang,abang
sbelum,sebelum
smua,semua
mnapun,mana pun
ude,sudah
grgr,gara-gara
km,kamu
pulak,pula
dek,adik
prnh,pernah
prnah,pernah
blg,bilang
tdr,tidur
sklh,sekolah
skolah,sekolah
gabaik,tidak baik
cewe,cewek
cowo,cowok
cwe,cewek
cwo,cowok
psti,pasti
ak,aku
maapin,maafkan
liatin,melihat
kl,kalau
notif,notifikasi
notip,notifikasi
ngilangin,menghilangkan
ngilangi,menghilangkan
agak2,agak
nontonin,menonton
main2,main
gblg,bodoh
thx,terima kasih
nyampe,sampai
dlu,dulu
kdg,kadang
jrg,jarang
srg,sering
kak,kakak
mager,malas gerak
wa,whatsapp
fb,facebook
ig,instagram
ngak,tidak
gituh,begitu
liat,lihat
dengerin,mendengarkan
terooos,terus
ngeliat,melihat
maen,main
sm,sama
u,kamu
kaka,kakak
yawda,ya sudah
mo,mau
ujung2nya,ujungnya
lama2,semakin lama
duid,duit
gapernah,tidak pernah
sempet,sempat
sbnrnya,sebenarnya
pcr,pacar
mulu,melulu
kagak,tidak
pdkt,pendekatan
cape,capek
seneng,senang
iyah,ya
ngibul,kibul
gaenak,tidak enak
kesel,kesal
tjd,terjadi
bapa,bapak
grk,gerak
th,tahun
merubah,mengubah
tida,tidak
lbh,lebih
nda,tidak
uda,udah
ngk,tidak
dstu,di situ
lgsung,langsung
lgsng,langsung
jan,jangan
diem,diam
beneran,benar
ngapus,hapus
ngira,kira
emg,memang
emng,memang
dll,dan lainnya
gatau,tidak tahu
sekrng,sekarang
pakabar,apa kabar
jht,jahat
jahad,jahat
sumpa,sumpah
nak,anak
trims,terima kasih
ndaa,tidak
bsk,besok
hayuk,yuk
lur,teman
gmna,bagaimana
trtntu,tertentu
baek2,baik-baik
nyimeng,merokok ganja
korma,kurma
pa2,apa-apa
harammm,haram
pundi2,pundi
gaes,kawan
kader2,kader
jgnlah,janganlah
dech,deh
cuap2,bicara
bedera,bendera
mabok,mabuk
sabu2,sabu
sbagai,sebagai
kokean,kebanyakan
export,ekspor
ancurr,hancur
ancur,hancur
guoblok,bodoh
nga,tidak
laen,lain
ud,sudah
aba2,aba-aba
knpa,kenapa
dikmpng,di kampung
msng2,masing-masing
prustasi,frustasi
mala,malah
tw,tahu
taw,tahu
trdampak,terdampak
prtimbangan,pertimbangan
msyrkt,masyarakat
dngn,dengan
dng,dengan
kalok,kalau
tntng,tentang
kafeer,kafir
tipu2,tipu
hbs,habis
sok2an,berlagak
ttanpa,tanpa
mmg,memang
ntuh,itu
yaetuh,yaitu
sbenernya,sebenarnya
jls2,jelas
bngst,bangsat
4nies,anies
smpe,sampai
smoga,semoga
kocheng,kucing
brani,berani
moga,semoga
bnar,benar
mpersilakan,mempersilahkan
pjabat,pejabat
dipersoalkan,soal
dipake,pakai
dipakek,pakai
dipastiin,pasti
dipastikan,pasti
diperbuat,buat
diperbuatnya,buat
dopercoyo,percaya
diperkirakan,kira
dipergunakan,guna
diperlihatkan,lihat
diperlukan,perlu
diperlukannya,perlu
dipertanyakan,tanya
diphpin,bohong
mgkn,mungkin
direspon,respon
reply,balas
percya,percaya
pemerint,pemerintah
pemer,pemerintah
penyebara,penyebaran
muke,muka
mnybar,menyebar
